,family,txn_hash,output_index,potential_ransom_wallet_addr,potential_ransom_btc,potential_ransom_usd,unix_ts
20,Locky,47389d7ad0d5770308cc8b0f2e7f435bf63b626a8b9d211d27666aceb07c6e36,1,19a65oPJLYCtvgVyQzNdB2xszhPAjJTZ7k,1.0,403.75,1455650541
21,Locky,ee6d97b14b7f33b5c94e81a71d6f5d166182b0efc8b4854ba9c15bf6b6dbcd70,0,1LHTAEJrHMMWvfmHxJUDy6TqFZpkmgUYSt,1.0,403.75,1455651423
22,Locky,4771e9244cb068a2618ec962f0410d9e822d3beb3bd3b0c39ce334506c083df1,1,1CuAc4bVDximzmh1VXyYnLikMhzcGSjGLN,0.51,205.91,1455651423
23,Locky,d2717a142dac5c63ba595907a1e01946637c21b626ca4f946c8a91d16fd40b55,0,1DrRUx74B8FDVhouzAeZQreHQGEsswwXCQ,1.0,403.75,1455651794
24,Locky,9dbeeda69e963f25de700cff5a6e03638ba0334e0fad886a66e6686763bcfc89,21,1BaVZuSrVYwjideCVxhtUCjwPw3dVg7eWT,0.5,201.88,1455655525
25,Locky,9ac29ac7537a6de4c3044e0cf98e2b1210d38653a5ca0d6ddf4c5cf94964d198,46,1HPvHfTtkgvuNddGzjkrg3bsMhUN72Vb5x,0.5,201.88,1455656920
26,Locky,808ffeae53536111ce2ed99f0394b4204948437387d1a066fa09eb30dfcd3245,1,19Qk7tPJcgEQz3MmMpURkZMoHTC7S8ErCv,1.0,403.75,1455659597
27,Locky,828719687075f43a6b566a151cd2198035a7118aab86ab83e12f733ecd744690,0,13A2RA2EQKmuAecbmSugkB5NFXQaCKSP7j,2.0,807.5,1455659597
28,Locky,b73ff7fcd787b3b85d63010ebf684a52daa289b1f205926039c0e0db95cfc441,0,15KcwwRsu9hZ9mVo3b6bm814rVpZFwMXx8,1.0,403.75,1455660206
29,Locky,b89a81cefe249761785fa730be14552073316d0c4e9503a46db0977212d3ae60,0,1PZ9Nr6721rWnaEe5uiovw5KeAsY7jGJPP,1.0,403.75,1455662149
30,Locky,ec6cb3dfef1000b9123e64531cd0c228bd20c2704d736c46e539d33e6c76bebb,1,1J5TRYbpLPz12GAofzf8fi3UctJF8tTdcK,1.0,414.15,1455663895
31,Locky,c8da0cf5f703fb0b92fcf1d27343496589b56634d900147eb187041f07499e7c,10,1H1DMFFYz3yBbZY21ZqwWuyiA8N4LhGARH,1.0,414.15,1455664571
32,Locky,678977e6e9d6a56bd6b836b056dfe27888615cef60a6d368da9e15621d32edb7,13,1LWGpF8WeBPrD6FPbzBPL5D8dQEQuUEtYF,2.5,1035.38,1455668001
33,Locky,a633f8a2fea856cbb1f2e9be1979b0c1e92bbb715f33401c20631362a6e3bfc8,0,17f7k25cSrTWzdVQuoVKkPFYj8hkNeEv9u,0.5099,211.18,1455668001
34,Locky,6be27e35962955b7eac25732046b97cbeea623f02f4fe463c1c7d5f1c3b13c03,4,12EbcaUq7pbbrHReE5Lu9EF75HAFjFCRaJ,0.51,211.22,1455673549
35,Locky,b95eab93522325c3f86d04908589a5a38815fe8806efb7e6caaf8bbb642329b6,0,17u8PJJiyEtYSF26rYKj3aHrzwxoewj2J7,0.5,207.08,1455674481
36,Locky,736023b177dd2b29e444c3a586484ff15a35d1a5ec8b960b878e7df16b42dd2e,11,1P5jweSMEfDhqa9P8yRJif4Xu2qcLsdBpg,1.0,414.15,1455676614
37,Locky,53dee598333ddb909d004826971a9ed14ee55e84bb3518d6773288c6d9080e25,0,1LDtyZB6Q6Mb6x2xFv2JyLebsjkMjCsPVY,1.0,414.15,1455677799
38,Locky,176dff4d1ef998f0908c57dd0118d31ba5e0e2650fad6106cfbc32fea01f5bba,1,1Bpkq38UJktW5dP5fXQi1LqgRYniRHW3P,2.0,828.3,1455683438
39,Locky,4c7e9a62469ba89f51202c8562d15031f426c82fc9e57aa0353dd66e3b453ed5,1,158FVmDfbScr4DQ8Nvgmdu3NZb4HEu68tG,0.5,207.08,1455690442
40,Locky,f279abfb6dab9adbb8e6a6703429e7e97f01c079344e56921ab792f7e2f96f0d,0,1M8J1onxV6zjvinamqheiMXgPeawpfPFKV,0.5,207.08,1455695880
41,Locky,92f9da08614766d5a5e1c92b59e6e95142e4fbac5b833167350977140bd94ae9,0,16iSf9AGBqaYhtC17fcD7KDgnGA6wrpS6y,0.4999,207.03,1455698362
42,Locky,0ee732c7fa9ce2014cba015c5fbcaef9c57f6f07a8c88617867329a466e6c819,1,19Aq5gHhdTtNeEpi9Ntdnn5j47Q7PK15ac,0.4998,206.99,1455700094
43,Locky,ad0184a4f06fd5897e4a2798584755d718f835ad1ab0f6384fa265f7e35c96fc,2,13oeKSdgBQiSCJxwNngiM9rCbNs3jTucRu,0.5,207.08,1455701431
44,Locky,943b6c79787cfd959812710b1e3c95a068698d534cf4c5fb0535243db523b9f6,0,1BwexmY3EbrJ2rL2p1TGtodBAhqABTdfiz,1.0,414.15,1455701431
45,Locky,968136e03bd96ebb6b2beba14e595d256bece55952e95808162f6bc2e868707a,0,12Czkbx8EyxXvw3n8uzqBsdDVWH2HGYmPQ,1.0,414.15,1455701431
46,Locky,a3ddd7e599297a055a42bf10e539733f2eae5407900271bbcff1aa175e3b9510,0,19hfeJ33V9ij2NNHfnzpUkXSS93KXhSw3B,1.0,414.15,1455701431
47,Locky,bd0a29dc28d37e5106c09a6e5e21076bb7a8908ccda93d956239ad7ea2b51f4d,0,1CaHh5sJkxtVed9cMjoweGUZMdmqCEphsv,0.5,207.08,1455702399
48,Locky,a69c98e1330b109ef6849504b5441f1b9ee94d7a736d619922fd446b1d0b386f,1,15NYKEwG7BDRA3RS5xJFsU8McogYDfBuXV,1.0,414.15,1455704549
49,Locky,5262a9057ef00f05a99fca3d3ff9902e754d723acff21d8e1e54b96893978406,0,1GRMuB5KsLRjsdnyP7NjXohLFmpxktFWSJ,0.9999,414.11,1455705580
50,Locky,9e5c843f36972944ec4af1a5068f87f675fd3450a171de9e6a490638fd8b331d,0,1L8y84mTUrFtoCoVkiGUgD4LbjkD1ejiCa,0.9999,414.11,1455706209
51,Locky,1b4330f5bca21a1f6984164183a56cfc5a527a0f9c42d4088b76d87c10e6b22b,0,1JPXJTKE7Np7aXLvUEQMKdpggzfG5vgds,1.0,414.15,1455707808
52,Locky,8fa47415ef060bfbb112fd20eff78eb440bbbbb483ae5445d19fc293fcb4552c,1,1DKLHCucmbrDbRNFgFUMJLCqwwTFbTBicc,0.5,207.08,1455708222
53,Locky,d3f14a95427792a6a2ec658c4e6ca8a5efeaba46ac4cdf70fa3711db44f1426e,0,1NUnPKh3xtqco2NuQgma9pivup38FoFqSB,1.0,414.15,1455708222
54,Locky,0abc23af9c09ae7a4e78b16a8198d0ceec34a7e7019f3393551aa5fa53ab3bf1,0,12W2myKo55QePx2DR4hiYToyqtEY4ieN7k,1.0,414.15,1455709343
55,Locky,b49510e7480a42466f9fc6a1f354246ddc8445b1c7e79e85e7ba670735cf4b38,0,19qRVAZG1qd4q8kYfKxypcedknrGSm9vo2,0.5,207.08,1455709343
56,Locky,6b6109d1f07bb137e64b42d87975984060744d1676d3ff8d08219b5498a3567f,1,1KqY7V2geHBp9AjbAzfjo87CKGgRwHHUuK,1.0,414.15,1455709343
57,Locky,7d794f19b0c887b84f6266793dd467ed8694a598b59f347b734e278985cdb77f,1,1NxyJcUp2FeLp6KFonCaBQrS9BB31jrZUV,0.5,207.08,1455710712
58,Locky,45b1034afc0320679f53320abad1a763de9ae849561e4436d96ca52db4157487,8,1EbaxVVdovM1DksRUvD98x91ReVLhfrkc5,0.5,207.08,1455710712
59,Locky,f25f4f27bc4a1ca54eaeb8d4870b42a2825949c840f11c6db88ab346081215d6,5,16xGKNEw4ukbvRzEVZnzSyLhmizfgkMU3W,0.5,207.08,1455710712
60,Locky,31a83b8fe16bf649d9691c80c86dd822fd96f293a05dc0bf7abd6ade98b5c20c,1,1NdCpYVEUSgKai6gyCXDupJqSfgieSbKmK,1.0,414.15,1455710712
61,Locky,904b6c5ea2ec740f55b6269d24b64481d09f9a70e6c10ace4a1d53eee907c0a3,0,1LSYQY7yQ6wJMvcufMenxPFRsDFUhnrjHm,1.0,414.15,1455712357
62,Locky,9a895bf02173d06e9ad99a355eea3199a8b94b3ddb8d19a4a4c9c37c2fbbb7b0,1,18GG3uBSrDeMUbME6vgjQA3JsRTJzckVtQ,1.0,414.15,1455712357
63,Locky,6e139420289e3d1f2c9026ab17bc244828736815f080ea6323f9d7dfea5b886f,0,18j3rHkR9MUSwEm93kRRDHoPggQ8Gi76G6,2.5,1035.38,1455713801
64,Locky,5011b3daf61edb5612056cbb9edf5c20acee56f71c49cac23569e9c3af94fa48,1,1MF39u7tA5e2CKAo5qPmpXz4KDFA8Gmc43,0.5,207.08,1455713801
65,Locky,107a24d193d08e253d5c36ef422bd943bda9f5037c1061954675bf9f3872b68a,0,1BjufL3ZvtQDzorXEVnoF34sLsRK5E3vzB,1.0,414.15,1455713801
66,Locky,f87b61add726d302a158842e8f0011fd035631d21161f7465f0defda20ffb552,0,1E1H8ZieyFo3pRA8HJNUhWZKwE9GPGkCxr,1.0,414.15,1455714033
67,Locky,8dd9a79d838d73cc9ac32299011d07ad1eb8ee2b61cc7f4e4df86e6f1c636f69,0,13MUnPadsBp11YF48Q32WFq8aUTZTEp688,0.4999,207.03,1455715047
68,Locky,4c8a1081a378d4d740747f93902895a33e4d3e0dc54cc91fd7716a423053c341,0,1FyhGGga7M1viKZmj56fg2bdxvAvxzfsZU,0.491,203.35,1455715787
69,Locky,276e12cf7899cccf13c9e6a60339d3fce9c9da6dc8de33c47427fdbc0b6c1a52,9,1JofmmDL1tsoV6HkHyPsgdo6B3PPZSHZ6i,0.5,207.08,1455716297
70,Locky,efa4489d78255d0d6d47170f1297f123c778b3c4069efaf826ff8ce5964532d9,0,17HL4Uh3d9xWxxtMAF9NTx9mougqHffLaN,0.5,207.08,1455718896
71,Locky,f64b5d6af2095db672c2fe3642bda13939ee64dbf14a591c4b146e4c92dd5181,0,1E9GkwuxmjhY2q57Ahu81sFFai58jT3Kgb,0.5,207.08,1455719166
72,Locky,046e01204e8537eb800d79145ae0b125fccc67571a7e703b398d48fd7a5f61b7,1,1Hikxwps8e1esBuH8YEnK4yd1U8keUCA1h,0.5,207.08,1455719166
73,Locky,0e70204aa820c2a94d6e8ea75f2a1dcfd7c956d192eba16553d058fc7ed0ebdb,0,1KcaoNzr3nRKPj4z1aoSSbb1DAt58kHTz,1.0,414.15,1455719666
74,Locky,474f441eae7b5414f7837d46f0be49eede0b9747fd67234584f94787634a8b23,7,17JzywptwqwvaHYFCW5XonbuuTpWcQYkwx,1.0,414.15,1455720261
75,Locky,7d4127ed2cca6eb640223a17ec6b4b771e4ce9b49a0ccda0f89c8b4d86e69925,0,1KG7Giav1zm79oWEkt8c1ofoQrruP2hUBW,1.0,414.15,1455721633
76,Locky,ba0dedcf9c0f7aa0d6e008b92f0e540a19a8337d72a9636086260f772b25ff07,0,18jTF1jajZAmyqt39HXzQsbDqABX5Z1dEh,1.0,414.15,1455722142
77,Locky,5278278975e1c7f6a1306bfe1fc93e1d2a394bcc8897cce1fad32d7cb3187b12,0,16Ay8NftNjKt2cb6V7u2Z9rVy9nSiF32bu,1.0,414.15,1455722142
78,Locky,7705b75d05bb95bf5b9cf2f0feafa541c2407a9ef90f9c7e8e4ab105860ad93c,1,1BVzarUg3HEaQJiNXMn165wXDS93AkwQ6Y,1.0,414.15,1455722142
79,Locky,0c90fc1237f82b59c1481c81fefc7e583a42d3138e3899d62ea9491710536efa,1,1Gxy8ArgjAXBfdD3VutfhB5JEgGbpgNP6E,2.0,828.3,1455722142
80,Locky,7a8f92dc6b6477fbd510a18925ae10422bb70b260061c3fd1a945d87f79b0204,0,16oLDgpvKBqU7vL8SanjKrASqYMUrXuewb,0.5,207.08,1455723073
81,Locky,3dc34d9fb46e721478c6f2698f84fa6bfe3bdcaea9cade236ad628aaf2c660b6,0,1QKWz6oxgdoFE2Xo7eKcvp6NpaVw3KFF9G,1.0,414.15,1455724158
82,Locky,671b723867060761bed2679b0679e5aabef188658be157a4c71342401e16db8a,5,1JeF6DaMiR73sgcGdD7qh4coVVZ7ARhTzs,1.0,414.15,1455724158
83,Locky,614e7bf7a90049c73651b78fd8afc0725259b123dbb3966a2e8651d09915f24c,1,1FqDV8Z3D5NVQgXCnA34HNxcsq7Uvv71h3,1.0,414.15,1455724423
84,Locky,f1bcaebe3ef716eb4a910f029489b25314139b9aa1fde1741684a22384db6400,8,1M7ju97337qxBiatgeZH61ejkasyx6Wpja,1.0,414.15,1455725906
85,Locky,be6dc61ae4025cfbf3048065904b9d982c853f5b4dbf671d89c495a9bfcf7a06,0,16GJcf43XEv2K39kKuHxXDiCYK1sGuEaT3,0.9999,414.11,1455725906
86,Locky,ff7cc91b83000f3ce7ea548b1106a44d415d9c277e99f5ebd3b5cb189ce21e33,0,139HY8NbKRnwQtBvmDC4yYw3TrUtmVGMSv,0.5,207.08,1455725906
87,Locky,aa00f047eaca4ee6227d6bc0f669d1c995ed778f8ab387d620916f2cfbc49bf3,0,12QbsaJc6tsy4AifuiV27oWSyf2JAtJ3Hj,1.0,414.15,1455726808
88,Locky,2c1bb77c6363f18bcb97d151bee1128651b853905a8a4f3d7f019b0acb385de9,1,1D9m8aAevTinFDRjmM2dBMAUDyJJA7USNJ,1.0,414.15,1455728887
89,Locky,48fe38e4532dc1e1be10c42efd0c6fbf33eb47d0e842c30adee8a231719af41b,0,1Jf7VxDUruhMFPcxTrRuBhGewQFp5PwGeZ,0.9999,414.11,1455728887
90,Locky,0e5909b3d676dd746ecebc0321e3ab48a2daaaae6fed0ea30bcf38c8bd07dc0b,1,1PBbgFDKfyDSGzzQAN7BnFa27nwDJGKZDR,0.5,207.08,1455728887
91,Locky,5fa9d815042fb4efb4335f2eef7a1bc76c4dce4bdf4b84c233dbe9e0c9e9691e,19,18TWN1w5WtyVo2xsnkNhjUJnMeX5V7Dr1x,1.0,414.15,1455729011
92,Locky,b3f226bd80ffdecce8c9cb4380215d38c7d6526f14539cb5e59a0d7113a95295,0,1BdAFvkutkAEjGqoXeimbfiQ5SjioGgWDc,0.5,207.08,1455729011
93,Locky,ef816e1bce88dc0b477e85276b9a5f68831bf6fe726e4f1a8a1fa86e741d97b6,1,17xDvdSSDBGHGf2wiQK3EPXXJ5YmtmemW7,1.0,414.15,1455730174
94,Locky,aeb832891919f00c006f1e8f59bd57b9beb5c05a2652adaa1a707d85237f1886,0,1NeDehSDy7ACGUw1RzcRGYPfri29TTTyhT,1.0,414.15,1455730774
95,Locky,51e1193403df7f2220b986c4decdf894d326333e3845b2dc8afa8f25d51daedc,4,1GbwLnWpmyFpScSscK1v2uRoaLJYMWpds1,1.0,414.15,1455731191
96,Locky,e0082ac657e14c797022db56c57f832fdbbb6e9b5bcb3b12f3f68593b761384a,0,1Jq6ge74aKYYnnvv76CxXY5SHfWJPfs8L8,0.5,207.08,1455731191
97,Locky,6dc4945c018b9c5a9cffbcf7f0673420a20a3c7762644740ce1fcd4b0aa35ad0,0,12J48akNg2xSPaN1w4qaCY5JbFFivifoEB,1.0,414.15,1455731191
98,Locky,59bb844c73f9b118f2a54ce8f575a779335af3aa4ef95894dcc4f9ad70d18fbf,0,17HAN52TwGWuZmufbmJoXFRmL6hhjVyYbV,1.0,414.15,1455731327
99,Locky,fa4def803134b6a18e96dcc435948ede528363bd7b98ee0edb1e1bd161f21c2c,0,182cmSE9G3uvs5Vd7m93HP4VKyJR1naE9a,1.0,414.15,1455731828
100,Locky,96f37827c7663d3d23586c387f08f61f68b5951b8b5148130a8eb74bcfe4acbc,1,1BXUfw8ChuE44DuJc72QRsrM5gN2hb7rNk,1.0,414.15,1455732771
101,Locky,7d5b106076e3f1bafd5cdb9b805ce9877fa543eb45d7f885116b328b41b4f7cc,0,1GShighGEQwDs6hVdbfMLRvAfJtCrsgC29,0.9999,414.11,1455732771
102,Locky,6d36e37cce667e67f55c7d4af5e5a358eb001c4a962345596ac71f2fd90f1a6e,0,1GWjzkqgSxfRtMMcipEkvipsKCtQ5ktXF7,1.0,414.15,1455734791
103,Locky,e2fabe006e6dc6c9235c140f30cbb1c242a324f79ca9c47411979c98455a4437,14,1FPMJhLghEh3SrzzQGWX62nWYXYeJhMZjt,1.0,414.15,1455736112
104,Locky,6803738153b4ab9da664606a576a5fcf5450fe8bcc1c1ae85ddc942c98559c94,0,1wChU8sLeYjexCx5Q3Mk9PevGixYjazvm,0.5,207.08,1455736112
105,Locky,8ce8ed2302fff4a48a993bf133d1f897fe61de7256ab4be1d016f014686cff34,0,1GKTwnkzHDqV13YgirXVwrzMQo6WsfdJJk,0.5,207.08,1455736112
106,Locky,32ebb2267efec6a889460de39d5773ffbe43b8e983b1802cde97a5fd97e58f25,0,1Mo59ZApvLHtHsGoczVf6jnMQNGJtdfjwx,1.0,414.15,1455736112
107,Locky,cf7eaa8e53e31be073ec402e83d3af83a6f2fd5e7168ec0403ceb8f2dda80378,0,19SmJt5JdG2qHicYJ3f9syMg3CXGw5o12R,0.5,207.08,1455736475
108,Locky,2c221798fdd25c11676a49b6fe65995da5924828eb78cc1057b7ead5daa426a3,20,129nsZZr79dNfr9fKSGqeAgTBBqCVvMyKU,0.5,207.08,1455739338
109,Locky,a8d79b438fba3905229c95e5c973ccf7b94089f1f36c0f2cb2515187fc57007b,0,1KjNL67t2n6h2yYEPEJzcHPmPcVuYug3ek,1.0,414.15,1455739801
110,Locky,175b5f24bb26c305e4439e7cb21df754b5e8604ec6b248d2297e567dea148f49,0,1GHoVaXYc3qKX9KVWZqz2CRVkwe6S6S9Cr,1.0,414.15,1455746845
111,Locky,26d226d3f3c3351b4c9771913b306dd7a4bd3d67ae18874518e95438d10c6bdc,0,1C7HhrongsvBFG8PsbprGu6ybJ26KQQ3TD,0.5,207.08,1455749739
112,Locky,d1521cd70e49002a1a40592ff52d366ce946b1d5f668c492638ebf458219c725,0,12Ro82Eh7HiZbk8McYEsC82qe4p53e79LV,0.5,209.91,1455751098
113,Locky,f13f150aef6306bc9357d72bdce1c0ec3c6cd690c2bc9517b81607761e9cb453,0,1H1JjENYfMtRMNcy1KJ8EMRxcaTgzEYsxB,1.0,419.82,1455751672
114,Locky,ad64d8c7dfb20c1c05f4a6a8436e7f49b4729dd3704cf22ce5e6674375fd5393,0,1NUkigDc38dr2eKzkGpUkSUWqtksmouT5J,1.0,419.82,1455755815
115,Locky,a0cca286a40e5d91c621fb8018f4f9bcd30204d7e23e476313b545ab608d7e2e,1,1H2wbPK1KagYAqvkj4vcPnssNEbuWvyKLN,0.51651423,216.84,1455758109
116,Locky,ef8dc96b5db140f4c232a2d122da72b4fdd5a1bddad35cca516401e74e48fd1c,1,1JbmMs8HvEASo4dsA91AAsuv36psjSsCGr,0.5,209.91,1455758925
117,Locky,d910aed9d38f8e2320243a1ab57c6b0c89b16b47a3ca3408e3c08a5a9257c2d2,0,1CgPV4uH4u4Xbt69vpawHvAJhp1WQxQEXq,1.0,419.82,1455759630
118,Locky,4e9481efcba9c6acb99a1dc4e7b59266d79cbdaed4da59f826bbe84d27d9b213,0,1LnpK1NWgJhB9Gy1dy2kSg5ptMhZ5R59PD,0.5,209.91,1455759630
119,Locky,35669df6bdf41c6376ec85427accef221585733ac8421f951889dc3147989281,4,18bAv5fZUURZxG3f4xKmL8vjrfafPPc8UF,0.5,209.91,1455761870
120,Locky,a70cdd18bfaa44c7af07e31bdb1984316b5c650956eeaa45eca86a3eba05b87c,0,1KXq6KRUgf1wtde9cnvnRADFqPZXBKuziw,2.0,839.64,1455765028
121,Locky,9d5e85605cd84432878cb48ff7dc53a3860ff38d28cefd8465aadcc67d73d462,1,1HBMzttaZw1VkN9aSDXsJN1Lnhpsutko2X,1.0,419.82,1455765028
122,Locky,2431226dafa128f0b6bc2603add8effcfc980b76db3ff09b9fe68b7b246e779a,1,159BetAdpDpPDngXYUZS5zeJkgENin1h5G,0.5,209.91,1455765581
123,Locky,e9c28202d0f5134fe6d33b0f5be2b516e16fbd8a6221b065f29657e9ab49ba1d,0,1FCYsmg6pF3Mj4qb5C1JKrPADf8GpN7EeY,1.00089,420.19,1455766581
124,Locky,a7dcf67c3b70f963632a03ab38fbc2fb4c76317ea55fe639b97df0f34480963f,1,1MUKZqySSRBk74NzkEXgXZdgFDX9CgS8qS,0.5,209.91,1455767816
125,Locky,1d2b7e839c94f7fb3be6686dee48f9a71f1c5f5a946462606ae4d701a60d7aac,0,12Ukeqot5wZ9ktWMJ2scjhJn8LBNs6QDsR,0.5,209.91,1455769431
126,Locky,245dc01f5d2b957903779cc8a2dcffe45205d3050cf6a97e265a49705faf8b73,17,16tNySwY4NtJSz98xCto43rRvwHV2eQLMq,0.5,209.91,1455772631
127,Locky,1d119180ae631c2a491ca273b9a95e7fa498d3e5ea884e1f0fceba07b171e8de,0,1Cf4s57ErgQJAibuE3tzcWUPJaBpKb2GAc,0.9999,419.78,1455774860
128,Locky,bc3fe84be963c5e244a8c3f003a9d81f6235131bf0d3971762b17782caf21ab4,0,1BxQW7Y7w7gMyUD2dBrnLf5cnWRxVFxJ7,0.5,209.91,1455777116
129,Locky,96ab76c177f42643418db3f210cd1bad1b396f663260758e2da0452b3d937d01,0,1PM6thsDzAM2dhRBQ3F4niGe3LMWWme6wW,1.0000089,419.82,1455777116
130,Locky,e9f8e877e3d59372489aeb24c87bf0e4a61d2c25fe288cdec5dbe5360ded2ed2,1,1AU7GcB3xMXeN1e7ZAbi8Guv641ofxi4JX,1.0000089,419.82,1455777496
131,Locky,0757cde8676375df2470c918abc4d57de376969b99f36dd3cefdcbaa253d7585,1,13RpzXkudpCcNU9SzNCws7Ln8jyLuNc5A1,0.5,209.91,1455778872
132,Locky,71502104daf745951df2b1d57bec91b559d8efca052164a041d32ecaca8c879d,1,1N45wjMQ1M3hSoLtidAu5acyeMGQUnKNNL,0.5,209.91,1455778872
133,Locky,99cc1ae427463010f0dd686063c2d92c8a8796fd528767851dc75649437fa10e,0,1C6jGBSn8dPyS2VustVGEjbpS9xwn2kXDW,0.5,209.91,1455779547
134,Locky,2ef32c3bd6ba4449202e0535160581054deae34c530a7ba33fb1d97503d45a8f,0,14xPPEYfapgaVe5PdZHGPDbD7CEDY1evzs,1.0,419.82,1455779547
135,Locky,5d5c680a4be71d6700b30e19099bc9c0be8d207578f2423178d483c73fb62495,0,1FSwUrSCsk9H1UHz5ri2VmRw5SioLPBfQC,0.5,209.91,1455780911
136,Locky,9deece2e5cf8fef4726327e75a810a42b62d876ca4f7c3d0d1cb42751fe55400,4,18BAwRcCjCDEM7mXx3gDyUsLTgQrPm1x9J,0.5,209.91,1455782934
137,Locky,9deece2e5cf8fef4726327e75a810a42b62d876ca4f7c3d0d1cb42751fe55400,5,1GmuCxDz9gaMmCKosJRuNWvEyipetsveHX,1.0,419.82,1455782934
138,Locky,9cac597c060752210313343e4922219d7998123869a6abdafc4ad54b4d1e472e,8,16ZHuF4PYg8vmxpmzENpv6AqmZQsRZgi3q,0.5,209.91,1455782934
139,Locky,d52520127ff801edc0a53980d023f95a31d7463fb4415956ec62e50ae32388ba,4,17eWaXk647LBhbPZt9dkqhUUVwBczFzeTU,1.0,419.82,1455783777
140,Locky,b655bd991c8afe7dc9d70815fd91cebd9eb2be3544bd2f0703ce2a9f6182e949,7,16Pmh5ZxE7hw5SV8qSbwxF91BhznTDNTkG,0.5,209.91,1455783777
141,Locky,4b7a1fcf8cd9796180ad1fd7c8516867176af8e5a5a6d65e1075ce9851063102,0,16EQiwd2uvujUXtycgmC9hKqmBiJv9dvoa,0.5,209.91,1455785646
